src,tgt
Parang may lamay sa grammy eh noh antamlay magsalita di ba kayo naka kaen,"It's like there's a wake at the Grammys, isn't it? So sluggish when speaking, didn't you guys get to eat?"
User talaga kayo 😭 di ba kayo aangat pag wla boys namin?,You guys are such users 😭 won't you succeed without our boys?
"Si la pobre de Evelyn y su pareja Wilson creo que se llama, está esperando unas disculpas de parte de este individuo que esperen sentados que de pie se van a cansar... (Todos tienen la culpa menos yo)","Poor Evelyn and her partner, Wilson I think his name is, are waiting for an apology from this individual, but they'll wait forever, they'll get tired standing... (Everyone else is at fault but me)"
"O 'di ba kung kailan 'di na tayo nagkikita sa school saka mo'ko ichachat, kung kailan emotionally unavailable ako atm 🙂","See? When we stop seeing each other at school, that's when you'll chat me up, when I'm emotionally unavailable atm 🙂"
"Il cane di BA       Io se fossi al suo posto 
#BarisArduç",BA's dog. Me if I were in his place. #BarisArduç
"Look whos on the side, si hakdog di ba","Look who's on the side, it's Hakdog, isn't it?"
"Guys! nakuha talaga,marunong umuwi si Steb pag 8pm kakain na sila e. Ibalik n'yo na, tatlo na mag bibigay ng reward please lang balik n'yo na 😭😭","Guys! He really got it, Steb knows how to come home by 8 PM because they're going to eat. Please bring him back, three people will give a reward, please just bring him back 😭😭"
Di ba pwede makita sa cctv?,Can't it be seen on CCTV?
JUST GOT SHIPMENT NOTIF FOR THE SIGNORA COSPLAY WHATS GOOD YALL,JUST GOT SHIPMENT NOTIF FOR THE SIGNORA COSPLAY WHATS GOOD YALL
Yessss,Yessss
"Umorder ako sa Shopee ng dress, a plain rust-colored dress. Na add to cart ko siya and na checkout, meaning available yung product. Aba, pinalitan ba naman ng ibang klase kasi wala daw stock and di nagsabi sa akin hahahaha tama naman mainis ako di ba?🙃","I ordered a plain rust-colored dress from Shopee. I added it to cart and checked out, meaning the product was available. But then, they replaced it with a different kind because they said it was out of stock and didn't even tell me! Hahahaha, I have every right to be annoyed, don't I? 🙃"
TEKA MARE NATUTUWA AKO PAG NANALO BA ALBUM MO PANALO RIN ANG INANG NATEN @oliviarodrigo PAKISAGOT BHIE MARAMING SALAMAT. PINOY KA NAMAN DI BA #GRAMMYs,"HOLD ON, BESTIE, I'M SO HAPPY! IF YOUR ALBUM WINS, OUR MOTHER WINS TOO, @oliviarodrigo. PLEASE ANSWER, BHIE, THANK YOU VERY MUCH. YOU'RE FILIPINO, AREN'T YOU? #GRAMMYs"
"DI BA!!! Less gastos!! Hahahahahaha. 
May isa ako ngayong sisimulan but tingnan natin kung maganda. Bata uli ang bida hahahaha balitaan kita if maganda HAHAHAHAHAHA",RIGHT?! Less expenses!! Hahahahahaha. I'm starting a new one now but let's see if it's good. The main character is a kid again hahahaha I'll let you know if it's good HAHAHAHAHAHA
kaya nga di ba ang tanga niyo lang @PBBabscbn,"That's why you're so stupid, isn't it? @PBBabscbn"
ratio is 3 wins over 5 AOTY noms omg,ratio is 3 wins over 5 AOTY noms omg
Bes isang nomination lang??,"Bes, only one nomination??"
oo beh 😭 maski folklore lps di nominated 😭,"Yes, beh 😭 even the Folklore LPS wasn't nominated 😭"
Di ba beh nanalo na yung folklore last year ng aoty?,"Didn't Folklore win AOTY last year, beh?"
"yes, pero sinubmit nya yung folklore long pond sessions for best music film pero snubbed","yes, but she submitted the folklore long pond sessions for best music film but it was snubbed"
"Ahh okay. 
Im expecting kase meron sya more than 2 nomination",Ahh okay. I was expecting her to have more than 2 nominations.
hindi ako iiyak,I won't cry.
maaawa ka kay ash for sure,"You'll feel sorry for Ash, for sure."
haynako!!!!!!! di ba pwedeng bawiin yung unang sinabi ko na lubusin nang saktan si ash? hahhaha,Oh my gosh! Can't I take back what I said earlier about letting Ash get hurt completely? Hahaha
HAHAHAHAH hindi na eh,HAHAHAHAH not anymore.
And i'm your guitar.
I play your music
Straight from the heart....
Ganyan Si VP Leni parang stasyon ng Radio nong late 80's aabangan mo talaga sa ganda ng mensahe.
Etong si El Nido parang Bombo radyo kada salita Dong.. tigi Dong Dong. Sakit sa tenga!😆🤣","You are the minstrel, And I'm your guitar. I play your music Straight from the heart.... VP Leni is like a radio station from the late 80s, you'd really look forward to her because of her beautiful message. This El Nido is like Bombo Radyo, every word is 'Dong... tigi Dong Dong.' It's painful to listen to! 😆🤣"
The Mellow Touch 94.7! Mas maganda mga radio stations nuon kesa ngayon. Isa pa yung City Lights 88.3. 🥺,The Mellow Touch 94.7! Radio stations were so much better back then than now. Also City Lights 88.3. 🥺
"mellow touch, istasyon ng mga motel di ba? 😂 puro love songs...","Mellow Touch, isn't that a motel station? 😂 All love songs..."
Hindi ko lang sure since hindi pako nakapasok sa motel. 😊,I'm not sure since I haven't been to a motel yet. 😊
"😂😂😂...medyo outdated na sila, kaya slim na ang chance sir...😂😂😂","😂😂😂...they're a bit outdated now, so the chance is slim, sir...😂😂😂"
LOL😆😂,LOL😆😂
Namomoblema pala si Eian. Bakit ayaw paalisin kanina hahahaha,Eian's having trouble. Why didn't they let him leave earlier? Hahahaha
Di ba,Right?
True hahshaha,True hahshaha
good morning to addam from xenoblade chronicles ii: torna: the golden country expansion dlc,good morning to addam from xenoblade chronicles ii: torna: the golden country expansion dlc
y’all r lucky I don’t have a capture card for my switch y’all do not wanna watch me play xenoblade I promise,y’all r lucky I don’t have a capture card for my switch y’all do not wanna watch me play xenoblade I promise
ano pa bang bago di ba? hmmp,"What else is new, right? Hmmp"
beli di ba mana kak wording nya KBL keren banget lhoo,"buy it, where's the cool KBL wording though?"
So mukhang ipupush talaga ng ABS-CBN ang limited episode and seasonal line up next year ha. New era of PH Television habit na talaga.,"So it looks like ABS-CBN will really push for a limited episode and seasonal lineup next year, huh. It's really a new era of PH Television habits."
Di ba they tried it before Sineserye ata yun at Komiks pero di gaanobg kibagat kasi 2 months na yung pinakamatagal?,"Didn't they try it before, Sineserye I think, and Komiks, but it wasn't that impactful because the longest was only 2 months?"
DI BA NILA NADESERVE?,DIDN'T THEY DESERVE IT?
"yung special request, dinalawa ngayong linggo. nakakaloka, di pa pinagsabay. di ba talaga makakapagwait yan ng weekend?","The special request, they did it twice this week. It's crazy, they didn't even do it together. Can't they really wait for the weekend?"
"into the i-land nanaman? Haha di ba kayo nagsasawa? 'cause same 😔 i miss hanbin yawa 
#throwbacktuesday","Into the I-Land again? Haha, aren't you guys tired of it? 'cause same 😔 I miss Hanbin, damn it. #throwbacktuesday"
