src,tgt,complexity_score,quality_score,tagalog_complexity,is_augmented,uses_calamancy
uso naman pero iba pag may ka hug HAHAHAHAHA,uso naman pero iba pag may ka hug hahahahaha .,4.7,0.8,0.0,False,True
hirap maging christian talaga,hirap maging christian talaga .,3.2,0.8,0.0,False,True
ah talaga travel around the word ?,ah talaga travel around the word ?,4.1,0.6,0.0,False,True
There was no care given to how the love scene was going to be handled . That  s not how 2 men fuck . I m a woman and even I know the logistics . Sheesh ...,there was no care given to how the love scene was going to be handled . that  s not how to men fuck . i m a woman and even i know the logistics . sheesh .,13.1,0.8,0.0,False,True
"Rather than watching # GoldenBlood , just watch # WhereYourEyesLinger . It  s clearly the more superior of the 2 dramas . It has a better script , better acting , and better - looking leads , hahaha !","rather than watching , just watch . it  s clearly the more superior of the to dramas . it has a better script , better acting , and better - looking leads , hahaha !",13.7,0.8,0.0,False,True
"Rather than watching # GoldenBlood , just watch # WhereYourEyesLinger . It  s clearly the more superior of the 2 dramas . It has a better script , better acti , and better - looking leads , hahaha !","rather than watching , just watch . it  s clearly the more superior of the to dramas . it has a better script , better acting , and better - looking leads , hahaha !",13.7,0.8,0.0,True,True
parang tanga kasi magdrive eh,parang tanga kasi magdrive eh .,3.5,0.8,0.0,False,True
awit ate yubg akin andun naaalikabok’sn HAHAHAHAHAHAHKSHAKAHK,awit ate yubg akin andun naaalikaboksn hahahahahahahkshakahk .,4.1,0.8,0.0,False,True
Sorry walang wala lang talaga ako,sorry walang wala lang talaga ako .,3.8,0.8,0.0,False,True
AWTS MAY PINAPATAMAAN KA B,awts may pinapatamaan ka b.,3.5,0.8,0.0,False,True
MAHAL KITA SO MUCH TALAGA BABY,mahal kita so much talaga baby .,5.8,0.6,0.0,False,True
tf # scammys talaga,tf talaga .,3.2,0.6,0.0,False,True
Laptrip parin talaga to e hahahahaha,laptrip parin talaga to e hahahahaha .,3.8,0.6,0.0,False,True
omsim si tantan talaga hahahaha,omsim si tantan talaga hahahaha .,3.5,0.6,0.0,False,True
tamad aq mag edit now but-- djdbudbsisbshsvsh @skylaurr,tamad aq mag edit now but-- .,4.4,0.8,0.0,False,True
 di ba uso kumot sayo,di ba uso kumot sayo .,3.5,0.6,0.0,False,True
cute di ba haha 🫔 ito mukhang lumpia 🤣,cute di ba haha ito mukhang lumpia .,4.7,0.8,0.0,False,True
Di ba hurdile di tlhopo tsa bo mayor,di ba hurdile di tlhopo tsa bo mayor .,4.4,0.6,0.0,False,True
TANGENA TALAGA 😭,tangena talaga .,4.9,0.8,0.0,False,True
Kakalungkot lang kasi tngina bat parang may nag iba ? :(,kakalungkot lang kasi tngina bat parang may nag iba ?,5.3,0.8,0.0,False,True
