src,tgt,complexity_score,quality_score,tagalog_complexity,is_augmented,uses_calamancy
Ako nga yung kuripot di ba hahaha,"i m the stingy one , right ? hahaha .",4.1,0.6,0.0,False,True
di ba looped in ? o parroting lang kasi epal silang pamilya,aren t they looped in ? or just parroting because their family is full of attention seekers .,5.6,0.6,0.0,False,True
Di ba we learn from her ;) QUINCY WITH JOHN ADAJAR,"right , we learn from her ;)",5.3,0.8,0.0,False,True
tamah walang maleh ms . quincy,"correct , no mistake ms . quincy .",3.8,0.8,0.0,False,True
hala gagi kinuha akong ninang nung tomboy kong kaklase,"oh my god , my lesbian classmate asked me to be a godmother .",4.7,0.8,0.0,False,True
hala gagi kinuha akong nina nung tomboy kong kaklase,"oh my god , my lesbian classmate asked me to be a godmother .",4.7,0.8,0.0,True,True
DI BA KAYO KINAKABAHAN @OfficialMonstaX # # RushHour,aren t you nervous ?,4.4,0.6,0.0,False,True
Mmm,taytay said you do it kasi lalabs mo sebby .,2.3,0.6,0.0,False,True
" di ba pwedeng lahat , maybe 3 or 4","can t it be all of them , maybe 3 or 4 ?",4.7,0.8,0.0,False,True
isa lang po talaga,"just one , please .",3.2,0.6,0.0,False,True
"Wait bakit parang si renjun , sungchan , shotaro , taeyong , mark , jaehyun and jungwoo","wait , why does it look like renjun , sungchan , shotaro , taeyong , mark , jaehyun , and jungwoo ?",7.1,0.6,0.0,False,True
Before nga po,makapag - perform tayo sa stage na ito . marami na kami napanood na concerts sa araneta before,2.9,0.6,0.0,False,True
NGAYON LANG NATAPOS 🤣,it just finished now .,5.2,0.8,0.0,False,True
Di ba,right ?,2.6,0.6,0.0,False,True
im sure u already know what im talking about @tosunsets,i m sure you already know what i m talking about .,5.0,0.8,0.0,False,True
di ba ! ! i like where this is going studj i beg,"right ! ! i like where this is going , studj , i beg .",5.9,0.8,0.0,False,True
i did my best naman di ba ? but why is it still not enough ?,"i did my best , right ? but why is it still not enough ?",6.8,0.8,0.0,False,True
di ba cabbage,isn t it cabbage ?,2.9,0.6,0.0,False,True
UY BEH AKOOOO .. hindi player,"hey bae , it  s me ... not a player .",3.8,0.6,0.0,False,True
u - uwu 🥺 🥺 🥺 🥺 🥺 🥺 🥺,you - uwu .,5.0,0.8,0.0,False,True
di ba pangit ka bonding,"you re not fun to hang out with , right ?",3.5,0.6,0.0,False,True
Anong ginawa nanaman nyan te hb ka hahah,"what did she do again , sis , you re getting high - blooded , haha .",4.4,0.8,0.0,False,True
bat for a while . di ba pwedeng forever nalang .,why for a while ? can t it be forever ?,5.3,0.6,0.0,False,True
Biggest slap to that industry plant lol di ba kinaya buhatin ?,"biggest slap to that industry plant lol , they couldn t carry her , right ?",5.6,0.8,0.0,False,True
di ba 3am ? ? ?,isn t it 3am ? ? ?,3.8,0.6,0.0,False,True
Minkiaaaa io me lo sono sognata stanotte ... A una festa .. Porca troia .. Posso dirlo ? ? ?,"damn , i dreamed of him last night ... at a party ... holy shit ... can i say that ? ? ?",8.0,0.8,0.0,False,True
"Si può dire "" minchia che culo "" ?","can one say "" damn what an ass "" ?",4.7,0.6,0.0,False,True
È da 6 ore che lo urlo quindi figurati,"i ve been screaming it for 6 hours , so just imagine .",4.7,0.6,0.0,False,True
di ba both sayo ? ?,aren t they both yours ? ?,3.8,0.6,0.0,False,True
di ba ? nagulat ako biglang lumiit eh potek pwede pala,"right ? i was surprised it suddenly became smaller , damn , it  s possible .",5.3,0.8,0.0,False,True
Hu che cha sra paisy e Nu di ba wai harame e gatli di,( this is not in filipino / tagalog and appears to be in another language or nonsensical . a direct translation is not possible . ),8.2,0.6,0.0,False,True
di ba ?,right ?,2.9,0.6,0.0,False,True
di ba pwedeng i - fast forward to ?,can t we fast forward this ?,8.7,0.8,0.0,False,True
Di ba ? Hahaha ! EKIS TALAGA,right ? hahaha ! a definite no .,6.1,0.6,0.0,False,True
Pero the details tangina but where do I wear this ? Can it fit in my shoe closet ?,"but the details , damn it , but where do i wear this ? can it fit in my shoe closet ?",7.7,0.8,0.0,False,True
pero wala ka pang ganyang shoes di ba ? charot . Haha,"but you don t have those kinds of shoes yet , right ? just kidding . haha .",5.6,0.8,0.0,False,True
"Oo dai , bakit ?","yes , sis , why ?",3.5,0.6,0.0,False,True
"puro kayo dnb , ito naman :)","you re all about dnb , how about this one :)",6.1,0.6,0.0,False,True
Di ba uso move on sayo lods,"isn t moving on a thing for you , lods ?",4.1,0.6,0.0,False,True
HINDI BEH MWUAPS,no beh mwuaps,2.9,0.6,0.0,False,True
ano ? ? Bakit ano ? ? Di ba yon tao ? ? Nuyon aso ? ?,"what ? ? why what ? ? isn t that a person ? ? what  s that , a dog ? ?",7.1,0.6,0.0,False,True
what do you do ba when have makulog ? we make putol it di ba ? 🤣 🤣 🤣,"what do you do when something is painful ? we cut it off , right ?",9.7,0.8,0.0,False,True
tama naman  di ba laura este lola,"it  s correct , right laura , i mean lola .",4.1,0.6,0.0,False,True
bagsak kung bagsak hahaha,"fail if it  s a fail , hahaha .",3.2,0.6,0.0,False,True
Nd ako ginising mg mga aswang eh,the ghouls didn t wake me up .,4.1,0.8,0.0,False,True
Nd ako ginising mg mga aswa eh,the ghouls didn t wake me up .,4.1,0.8,0.0,True,True
text,english_translation,2.3,0.6,0.0,False,True
You guess,maybe big enough to start your own auditing firm ? or maybe just enough to get you out of this country ?,2.6,0.6,0.0,False,True
Sabi niya,ano pa ba ? ah ! your license ... what will happen if they file a lawsuit against you ? tsk tsk . good luck,2.6,0.6,0.0,False,True
I m sorry,"baby . "" "" ken whispered under his breath . he is crying miserably for who - knows - how - long . ang tanging alam lang ni ken ay nasasaktan siya higit pa sa sakit na naramdaman niya noong nakipaghiwalay siya kay justin . "" "" ken ! anong nangyari sa  yo ? "" "" it was josh .",2.9,0.8,0.0,False,True
I have a great laugh at this .,i have a great laugh at this .,4.4,0.8,0.0,False,True
Haha di ba . 🤣 🤣,"haha , right ?",5.8,0.6,0.0,False,True
"di ba crazy ka "" "" HAHAHAHAHAHAHAHHA","aren t you crazy "" hahahahahahahahha",6.1,0.6,0.0,False,True
"Dear RA , i think u need to include best kpop album now .. More inclusions di ba ? # GRAMMYs","dear ra , i think you need to include best kpop album now .. more inclusions , right ? # grammys",8.3,0.8,0.0,False,True
"grabe ka , cheat agad ?  di ba pwedeng kinabisado lang — HAHAHAHA so umulit curiouscat.qa/dospordoss22/p …","wow , cheating right away ? can t it be that they just memorized it ? — hahahaha so it happened again .",7.1,0.6,0.0,False,True
di ba nagkape tong mga announcer ? 🥱,didn t these announcers have coffee ?,4.4,0.8,0.0,False,True
di ba dapat sept . 28 HAHAHA,shouldn t it be sept . 28 ? hahaha,4.1,0.6,0.0,False,True
kakampe ako !,i m on your side !,2.9,0.6,0.0,False,True
beli di ba mana kak wording nya KBL keren banget lhoo,"sis , where did you buy the kbl wording ? it  s really cool .",5.3,0.8,0.0,False,True
beli di ba mana kak wordi nya KBL keren banget lhoo,"sis , where did you buy the kbl wording ? it  s really cool .",5.3,0.8,0.0,True,True
HAHAHAHHAHAHAHA ganyan yan si juji pero siya talaga eme 🤣 🤣,"hahahahhahahaha juji is like that but it  s really him , just kidding .",7.3,0.6,0.0,False,True
Sana lahat ganito kabilis mag announce di ba,"i wish everyone would announce this quickly , right ?",4.4,0.8,0.0,False,True
