id,translated_text
1,"id,translated_text"
2,"1463214900570853379,""it's always a coffee date when these people ask me out, maybe my manifestation of a starbucks planner was too over the top. can't we just have a gcash date instead?"""
3,"1463215830712270857,""didn't anji open up to kyle..unlike the first time where she was overcome by a surge of emotions and she didn't want tj to say anything."""
4,"1463216003253366786,""because if it's not legit, the mere mention of st luke's as the testing center, st luke's could have reacted right away, right? but so far, there's been nothing like that. are they just that desperate to oust bbm."""
5,"1463216381134995457,hey babe it's me.. not a player."
6,"1463216766654418949,beh why did you still reply."
7,"1463217197879226369,""i'm just updating you babe, maybe next time you'll know, I'm still not a player but at least you're updated babe, right? say uwu if you agree."""
8,"1463217439936708608,you-uwu."
9,"1463210231161257984,babe we got our feelings hurt damn it."
10,"1463216813123072001,""isn't it bad to hang out with?"""
11,"1463212650658086915,""I don't know if grannys is stupid or what? you're so good at being annoying, we don't expect anything from you anymore but fuck you really."""
12,"1463214284314271746,what did she do again sis you're so hb hahah."
13,"1463214464170217475,hahahaha it's so gg because teh."
14,"1463214664372813827,""aren't they nominated? wait i'm not very updated i don't scroll much often."""
15,"1463214910838476800,they were only nominated for one just like last year and the others were not i mean hahaha wtf."
16,"1463214159156289539,""non-athlete here but to these organizations, aren't you worried that how many sportsmen have changed their citizenship because of our system? is it just about money? won't you consider how much the athletes spent from their pockets while you're aiding them as small as a grain of rice."""
17,"1463214163166068739,I was so annoyed I was about to take a nap but I got pissed off instead."
18,"1463206191106912261,""nominations for bieber, silk sonic, olivia rodrigo and bts are expected. but taylor swift did for albums in a row then that was it? but i was surprised to see bad habits by ed sheeran."""
19,"1463211669073530887,They say Taylor has reached her quota at the Grammys hahhaha just kidding."
20,"1463212250131353604,maybe jayz and drake have also reached their quota, right? hahahaha those two are there every year hahahahahahahahaha."
21,"1463215935628582917,What else can we expect from the Grammys?"
22,"1463084149250539523,""hey jini has a space, you guys have a space too, let's read it again, right?"""
23,"1463211331637571587,""you guys are really users, can't you succeed without our boys?"""
24,"1463217238740127745,isn't it."
25,"1463212091821551616,""that's why, right, you're just stupid @PBBabscbn"""
26,"1463239799536377865,""the trauma you gave me and now you're like that. you're old now, isn't character development a thing."""
27,"1462907492220952584,""doug jones, who had 62 saves in two seasons with the astros, died from complications with covid-19, according to former astros and indians teammate greg swindell. chron.comsportsastrosarti."""
28,"1463063869161541635,""today with as usual. full video soon:)."""
29,"1463084409641320451,""why not, right stell hahahahah all their jingles are like their own songs too. sb19 bazinga_sb19."""
30,"1463222606996201478,yall are lucky i dont have a capture card for my switch yall do not wanna watch me play xenoblade i promise."
31,"1463077459079753733,""the one who thought of this concept is so smart and talented. originally filipino. bgyo gelo concept art bgyokundiman bgyo."""
32,"1463080285411561474,true it's also beautiful bgyo gelo concept art bgyokundiman."
33,"1463081253658238982,""Right? Kudos to the management and the whole team of BGYO BGYO GELO CONCEPT ART #BGYOkundiman #BGYO @bgyo_ph"""
34,"1463209551579467777,ratio is 3 wins over 5 aoty noms oh my god."
35,"1463209836997328896,bes is it just one nomination?"
36,"1463210395792211968,""yes babe, even folklore lps wasn't nominated."""
37,"1463210810558144516,""Isn't it babe, folklore already won aoty last year?"""
38,"1463211090955800576,""yes, but she submitted folklore long pond sessions for best music film but it was snubbed"""
39,"1463212088059314180,""ahh okay. i'm expecting him to have more than one nomination."""
40,"1463225480920764420,""judas!?? who is judas? frailties of a woman- aren't you the judas your driver has a wife you cheated with? you wanted to eat was saba variety of bananas."""
41,"1463212541887143943,""this is a happy ending, right? because if not, let's force it, please."""
42,"1463177917412917254,""my tl is crazy. bedscene. calendar girl mixed with football and basketball plus phil politics. i'm getting dizzy too."""
43,"1463227840573362189,don't mute me so we can have a loveteam."
44,"1463232350578479104,where will i get the bea stories if you're on mute."
45,"1463232963257188364,""I'm still absorbing Bea's being a calendar girl. hahahhaaha."""
46,"1463234596011745288,""She's okay, right? It doesn't look cheap. It's just like very sexy swimsuits. And she's beautiful, right? Blooming. Her shape is also beautiful. She needs to grow up already. She's old, you know. Being sweet doesn't suit her anymore. And the pictures are beautiful. You'll get used to it."""
47,"1463237844475035654,""I know they've been trying to get her for a long time, maybe she just agreed now because she's confident and her management isn't as strict anymore. of course she had an image before as ll. and wasn't her build a problem before?"""
48,"1463246426989903874,""and maybe there were limitations in her contract before. i'm sure she has more control over her contract now."""
49,"1462402546224361473,""so it looks like abs-cbn will really push for the limited episode and seasonal line up next year. it's really a new era of ph television habit."""
50,"1463223626317004801,""Didn't they try it before, Sineserye I think it was and Komiks but it wasn't that popular because the longest was only two months?"""
51,"1463222735451000834,""the special request, they did it twice this week. it's crazy, they didn't do it at the same time. can't they really wait for the weekend?"""
52,"1463180516023144457,don't be serious guys ate sheng is really serious sb19 bazinga_sb19."
53,"1463235710136238081,hahaha. ohhh right.. maybe.."
54,"1463081087941623808,""oh right i just opened twitter again and i already mined something."""
55,"1463083245604458496,""there are so many kids at the mall and some of them aren't even wearing facemasks? aren't their parents scared?"""
56,"1463084328540270592,that's true even here near us there are many kids and some of them are not wearing facemasks."
57,"1463085313367019521,""i think i worry more about them than their parents, my goodness."""
58,"1463079837107908608,I have a new cat, help me what should I name it."
59,"1463080036890656776,just bimby."
60,"1463080688278990848,bimby sounds like a lame kitten."
61,"1463080857137139714,""can't it be kris's son."""
62,"1463080489485365248,""finally found binder sleeves that are suitable for the carat kit binder and can fit non-standard size pcs and has 200 slots since it's back to back and affordable, oh right, I can be an endorser now hahahaha."""
63,"1463197801316192256,""you're crazy Brenda, you fell for Eian, that's why you said he's a flirt. hahaha you're a loser, you bitch. you're making up another issue."""
64,"1463235202952667142,""isn't he so annoying hahahaha damn that cholera he's so annoying like he's pretty he really feels like eian would fall for him. he's really so mad at alexa."""
65,"1463210087099502592,""It's like there's a wake at the Grammys, you know, they're so lifeless when they talk, haven't you eaten?"""
66,"1463539247747579908,lady how do you listen to that and think she sounds appealing in any way?"
67,"1463143614385569810,""i'm happy for you guys, i hope you're not like the spaces beks who will throw shade at each other on twitter after meetup hahahaha. labyu shurikats!"""
68,"1463144574742790145,""it's expensive for laps when jannie is there. for sure. the gay really wants to empty his pockets."""
69,"1463209493752283138,""I'm the stingy one, right? hahaha"""
70,"1463230028200611840,""YOU ARE THE JUDAS! YOU'RE JUST A MISTRESS - A WIFE-STEALER!! Who is RONNIE SABA DAYAN? YOUR DRIVER, ISN'T HE?"""
71,"1463082996605485058,""isn't he looped in? or just parroting because their family is full of themselves."""
72,"1463233579895328772,""can't I just tell sir that the lot was hit by an earthquake so I can't make a floor plan?"""
73,"1462742511185661952,the audacity of this guy! commercial on abs-cbn?!"
74,"1463082686587674632,""so, doesn't abs cbn have a choice? isn't that discretionary whether to accept or not because it's a private company?"""
75,"1463072266044919821,struggail's actions are coming back to her tt quincy with john adajar."
76,"1463080761544765441,isn't it we learn from her;) quincy with john adajar."
77,"1463092638001754115,""that's right, there's nothing wrong ms. quincy"""
78,"1463079998944776196,""Doesn't my tutee's dad feel that I don't find his Daddy Jokes funny? HAHAHA."""
79,"1463223386012717061,""why are the rappler idiots still here? didn't the sec already cancel your license because you're fakenewsmakers? get out of here? we don't need a biased media that's why your colleagues are in jail because of your fakenews reports! get out! pweee!"""
80,"1463078981737979905,""oh my god my lesbian classmate asked me to be a godmother."""
81,"1463080459550617601,""you're a lesbian too, right?"""
82,"1463084052274049026,yes haha you should know who you're messing with."
83,"1463223004863746051,""who stole from the marcoses? the aquinos are the real thieves. they are the ones who indulged in what was not theirs. don't be stupid! you are just like your mother! your brain is on the ground. are you proud of it? you're so smart, right?"""
84,"1463079662033129472,""aren't you nervous rushhour."""
85,"1463082514378104837,I feel like I'm about to poop from nervousness rushhour."
86,"1463058506676719619,""just guess what's right in my fake profile haha."""
87,"1463083154919415812,""It's good that he already has a girlfriend, right? hahahuhu"""
88,"1463219018165219330,""It depends on her because she didn't submit Fearless, right? haha"""
89,"1463206555143213057,""guys! steb really knows how to go home at 8pm when it's time to eat. please bring him back, three people will give a reward please bring him back."""
90,"1463233262482964482,can't it be seen on cctv?"
91,"1463245505031512074,caris you steal it and then if so you ask for permission.. haha parody parody."
92,"1463051882922790917,""you're all dnb, here's another one :)."""
93,"1463083804151943168,""isn't it time to move on, lods?"""
94,"1463104475699187715,not beh mwuaps."
95,"1463082090136686592,""what?? why what?? isn't that a person?? what is that a dog?"""
96,"1463219913791664128,""into the i-land again? haha aren't you getting tired? 'cause same i miss hanbin yawa throwbacktuesday."""
