id,text,preprocessed_text,english_translation
1463214900570853379,Puro coffee date yaya ng mga to amputa siguro masyadong oa pagka manifest ko ng starbucks planner ah. di ba pwedeng gcash date na lang?,puro coffee date yaya ng mga to amputa siguro masyadong oa pagka manifest ko ng starbucks planner ah. di'ba pwedeng gcash date na lang?,"these people are always asking for a coffee date, fuck, maybe my manifestation for a starbucks planner was too over the top. can't we just have a gcash date instead?"
1463215830712270857,Di ba nag open up si Anji ky Kyle..unlike nung una na sobrang dala ng bugso ng damdamin at sa ayaw nya may masabi si TJ.,di'ba nag open up si anji ky nung una na sobrang dala ng bugso ng damdamin at sa ayaw nya may masabi si tj.,didn't anji open up to kyle unlike the first time when she was so carried away by her emotions and she didn't want tj to say anything.
1463216003253366786,"Kasi if it's not legit, the mere mention of St Luke's as the testing center, St Luke's could have reacted right away, di ba? But so far, wala namang ganoon...DESPERADA lang ba talaga sila na mapatalsik si BBM🤦🤦🤦","kasi if it's not legit, the mere mention of st luke's as the testing center, st luke's could have reacted right away, di'ba? but so far, wala namang lang ba talaga sila na mapatalsik si bbm.","because if it's not legit, the mere mention of st. luke's as the testing center, st. luke's could have reacted right away, right? but so far, there's nothing... are they just really desperate to oust bbm."
1463216381134995457,UY BEH AKOOOO .. hindi player,uy beh akoooo.. hindi player.,"hey bae, it's me... not a player."
1463216766654418949,beh bkt bkt k pa nagreply,beh bkt bkt k pa nagreply.,"bae, why, why did you still reply?"
1463217197879226369,"inaupdate lang kita beh baka kasi sa susunod alam mo na, hindi pa rin ako player pero at least updated ka beh di ba say uwu nga kung agree ka 🥺🥺🥺🥺🥺🥺","inaupdate lang kita beh baka kasi sa susunod alam mo na, hindi pa rin ako player pero at least updated ka beh di'ba say uwu nga kung agree ka.","i'm just updating you, bae, because next time, you know, i'm still not a player, but at least you're updated, bae, right? say 'uwu' if you agree."
1463217439936708608,u-uwu 🥺🥺🥺🥺🥺🥺🥺,ikaw-uwu.,you-uwu.
1463210231161257984,beh sama ng loob nakuha naten tangina,beh sama ng loob nakuha naten tangina.,"bae, we got heartache, fuck."
1463216813123072001,di ba pangit ka bonding,di'ba pangit ka bonding.,"you're not fun to hang out with, right?"
1463212650658086915,D ko malaman kung bobo si grannys o ano ? Lakas mo lakas mong mambwiset D naman na kame nageexpect sayo pero POTANGNAMO TALAGA,d ko malaman kung bobo si grannys o ano? lakas mo lakas mong mambwiset d naman na kame nageexpect sayo pero potangnamo talaga.,"i can't tell if grannys is stupid or what? you're so good at being annoying. we don't expect anything from you anymore but fuck you, really."
1463214284314271746,Anong ginawa nanaman nyan te hb ka hahah,anong ginawa nanaman nyan te hb ka hahah.,"what did she do again, sis, you're getting high-blooded, haha."
1463214464170217475,Hahahaha nakaka gg kasi teh,hahahaha nakaka gg kasi teh.,"hahaha, it's so frustrating, sis."
1463214664372813827,Di ba sila nominated? Teka di ako masyado updated di ako masyado nag iiscroll madalas,di'ba sila nominated? teka di ako masyado updated di ako masyado nag iiscroll madalas.,"aren't they nominated? wait, i'm not very updated, i don't scroll very often."
1463214910838476800,Sa isa lang sila na nominate same as last year tas ung iba wala na i mean hahaha wtf 🤣,sa isa lang sila na nominate same as last year tas ung iba wala na i mean hahaha wtf.,"they were only nominated in one category, same as last year, and the others got nothing, i mean hahaha wtf."
1463214159156289539,"Non-athlete here pero to these organization/s, di ba kayo nababahala na how many sportsmen hace changed their citizenship because of our system? Peraan na lang? Hindi ba iko-consider how much the athletes spent their pockets while you're aiding them as small as grain of rice.","non-athlete here pero to these organizations, di'ba kayo nababahala na how many sportsmen hace changed their citizenship because of our system? peraan na lang? hindi ba iko-consider how much the athletes spent their pockets while you're aiding them as small as grain of rice.","non-athlete here, but to these organization/s, aren't you concerned that so many sportsmen have changed their citizenship because of our system? is it all just about money? won't you consider how much the athletes spent from their own pockets while you're aiding them with as little as a grain of rice."
1463214163166068739,Gigil iiglip sana ako nabuwiset pa,gigil iiglip sana ako nabuwiset pa.,"so frustrating, i was about to take a nap and then i got annoyed."
1463206191106912261,"NOMINATIONS FOR BIEBER, SILK SONIC, OLIVIA RODRIGO AND BTS ARE EXPECTED. BUT TAYLOR SWIFT DID 4 ALBUMS IN A ROW THEN THAT WAS IT? BUT I WAS SURPRISED TO SEE BAD HABITS BY ED SHEERAN.","nominations for bieber, silk sonic, olivia rodrigo and bts are expected. but taylor swift did for albums in a row then that was it? but i was surprised to see bad habits by ed sheeran.","nominations for bieber, silk sonic, olivia rodrigo and bts are expected. but taylor swift did for albums in a row then that was it? but i was surprised to see bad habits by ed sheeran."
1463211669073530887,Quota na daw si taylor sa grammys eh Hahhaha charrr,quota na daw si taylor sa grammys eh hahhaha charrr.,"they say taylor has reached her quota at the grammys, hahaha, just kidding."
