src,tgt
Parang may lamay sa grammy eh noh antamlay magsalita di ba kayo naka kaen,"It feels like a wake at the Grammys, doesn't it? They're so lifeless when they talk, didn't they eat?"
User talaga kayo di ba kayo aangat pag wla boys namin?,"You guys are such users, wouldn't you amount to anything without our boys?"
"O 'di ba kung kailan 'di na tayo nagkikita sa school saka mo'ko ichachat, kung kailan emotionally unavailable ako atm","Oh, see? just when we no longer see each other at school that you decide to chat me up, just when I'm currently emotionally unavailable."
"Look whos on the side, si hakdog di ba","Look who's on the side, hakdog right?"
"Guys! nakuha talaga,marunong umuwi si Steb pag 8pm kakain na sila e. Ibalik n'yo na, tatlo na mag bibigay ng reward please lang balik n'yo na","Guys! He really got taken. Steb knows how to come home at 8 PM because that’s when they eat. Please bring him back, three people will give a reward just please bring him back."
Di ba pwede makita sa cctv?,Can't it be seen on CCTV?
Just got shipment notif for the signora cosplay what's good y'all?,Just got shipment notif for the signora cosplay what's good y'all?
Yessss,Yessss
"Umorder ako sa Shopee ng dress, a plain rust-colored dress. Na add to cart ko siya and na checkout, meaning available yung product. Aba, pinalitan ba naman ng ibang klase kasi wala daw stock and di nagsabi sa akin hahahaha tama naman mainis ako di ba?","I ordered a dress on Shopee. I added it to my cart and checked out, meaning the product was available. Well, what do you know, they replaced it with a different kind because they said they didn't have stock and didn't tell me, hahaha. I have a right to be annoyed, don't I?"
TEKA MARE NATUTUWA AKO PAG NANALO BA ALBUM MO PANALO RIN ANG INANG NATEN PAKISAGOT BHIE MARAMING SALAMAT. PINOY KA NAMAN DI BA GRAMMYs,"Wait girl I'm glad, if your album wins,  our Inang will also win, right? Please answer girl thank you so much. You’re Filipino anyway, right, from Grammys?"
DI BA!!! Less gastos!! Hahahahahaha. May isa ako ngayong sisimulan but tingnan natin kung maganda. Bata uli ang bida hahahaha balitaan kita if maganda HAHAHAHAHAHA,"Right? Less expenses! Hahahahahaha. I will start a new one now, but let's see if it's good. The lead is young again, hahahaha, I'll update you if it's good Hahahahahaha"
kaya nga di ba ang tanga niyo lang,"Exactly, right? You guys are just stupid."
ratio is 3 wins over 5 AOTY noms omg,Ratio is 3 wins over 5 AOTY nominations omg.
Bes isang nomination lang??,"Girl, just one nomination, seriously??"
oo beh maski folklore lps di nominated,"Yeah girl, even Folklore lps wasn't nominated."
Di ba beh nanalo na yung folklore last year ng aoty?,"Girl, Folklore already win Album of the Year last year, right?"
"yes, pero sinubmit nya yung folklore long pond sessions for best music film pero snubbed","Yes, but she submitted Folklore Long Pond Sessions for Best Music Film, but it was snubbed."
Ahh okay. Im expecting kase meron sya more than 2 nomination,"Ahh, okay. I was expecting her to have more than 2 nominations."
hindi ako iiyak,I will not cry.
maaawa ka kay ash for sure,You'll surely feel sorry for Ash.
haynako!!!!!!! di ba pwedeng bawiin yung unang sinabi ko na lubusin nang saktan si ash? hahhaha,"Oh my gosh!!!!!!! Can't I take back what I said earlier, which was to go all out and hurt Ash? Hahhaha."
HAHAHAHAH hindi na eh,"HAHAHAHAH well not anymore, though."
"You are the minstrel, And i'm your guitar. I play your music Straight from the heart.... Ganyan Si VP Leni parang stasyon ng Radio nong late 80's aabangan mo talaga sa ganda ng mensahe. Etong si El Nido parang Bombo radyo kada salita Dong.. tigi Dong Dong. Sakit sa tenga!","You are the minstrel, and I'm your guitar. I play your music straight from the heart....That's how VP Leni is, like a radio station in the late 80's, you’d really wait for her message because it’s so good. This El Nido is like Bombo Radyo, every word, ""Dong.. tigi Dong Dong"". It hurts the ears!"
The Mellow Touch 94.7! Mas maganda mga radio stations nuon kesa ngayon. Isa pa yung City Lights 88.3.,The Mellow Touch 94.7! Radio stations were better back then than now. Another one is City Lights 88.3.
"mellow touch, istasyon ng mga motel di ba? puro love songs...","Mellow Touch, isn't that the radio station for motels? It's all love songs..."
Hindi ko lang sure since hindi pako nakapasok sa motel.,I'm not sure though since I haven't been inside a motel yet.
"...medyo outdated na sila, kaya slim na ang chance sir...","...they're a bit outdated, so the chances are slim, sir..."
LOL,LOL
Namomoblema pala si Eian. Bakit ayaw paalisin kanina hahahaha,So Eian was feeling troubled. Why didn't they let him leave earlier hahahaha
Di ba,Right?
True hahshaha,True hahshaha
good morning to addam from xenoblade chronicles ii: torna: the golden country expansion dlc,Good morning to Addam from Xenoblade Chronicles II: Torna: The Golden Country Expansion dlc
y’all r lucky I don’t have a capture card for my switch y’all do not wanna watch me play xenoblade I promise,Y’all are lucky I don’t have a capture card for my switch y’all do not wanna watch me play xenoblade I promise
ano pa bang bago di ba? hmmp,"What else is new, right? hmmp"
So mukhang ipupush talaga ng ABS-CBN ang limited episode and seasonal line up next year ha. New era of PH Television habit na talaga.,"So it looks like ABS-CBN will really push for limited episode and seasonal lineups next year, huh? A new era of Philippine Television habits indeed."
Di ba they tried it before Sineserye ata yun at Komiks pero di gaanong kabigat kasi 2 months na yung pinakamatagal?,"Didn't they try it before with Sineserye and Komiks, but it didn't catch on much because 2 months was the longest?"
"yung special request, dinalawa ngayong linggo. nakakaloka, di pa pinagsabay. di ba talaga makakapagwait yan ng weekend?","The special requests, they did two this week. It's crazy, and they didn’t even do them at the same time. Can’t they really wait for the weekend?”"
into the i-land nanaman? Haha di ba kayo nagsasawa? 'cause same i miss hanbin yawa ,"Into the I-Land again? Haha, aren't you guys getting tired of it? 'cause same, I miss Hanbin yawa"
Ikaw ang hudas! mistress ka lang- mang aagaw ng asawa!! sino si ronnie saba diyan? driver mo di ba?,You are the judas! You're just a mistress- a husband snatcher!! Who is Ronnie saba? Isn't he your driver?
i just know that the academy won’t let her win back-to-back but still!!! labyu congrats,I just know that the academy won’t let her win back-to-back but still!!! Love you congrats.
AKSKSKS enough na ito,AKSKSKS that's enough.
di ba milagro na manalo but evermore deserves periodtt,"Isn't it a miracle to win, but Evermore deserves it periodtt."
pop vocal album snub can't accept this tho,Pop vocal album snub can't accept this though
totoo pero go olivia sweep this shit,"True, but go olivia sweep this shit"
"Parang yung ibang housemates rin need magset ng boundaries sa pahihimasok sa buhay nina KD at Anji. Gets ko na concerned kayo sa kanila, pero you don't really know them pa. Hindi niyo alam kung ano ang foundation ng friendship nila. Kaya please lang, kawawa na sila emotionally.","It's like some of the other housemates also need to set boundaries on meddling in KD and Anji's lives. I get that you're concerned about them, but you don't really know them yet. You don't know what the foundation of their friendship is. So please, they're already emotionally vulnerable."
"Di ba sila naaawa kay Anji? Grabe yung iyak niya lalo na yung last part bago mag end yung stream. Natatakot siya sa sasabihin ng iba about sa kanya. Yung kinakatakutan niya, mismong sa bahay niya nararanasan.","Don't they feel sorry for Anji? The way she cried was intense, especially the last part before the stream ended. She's afraid of what others will say about her. What she's afraid of, she's experiencing it inside her own house."
Di ko na tuloy alam kung gusto pa ba ni Anji yung ginagawa niya. Kung totoo ba niyang naeexpress yung sarili niya. O sumusunod nalang siya sa gusto ng housemates na gawin niya. Hindi natin alam eh. Kasi takot siya mahusgahan. Kaya pls lang. Hayaan niyo siya matuto na siya lang.,"I don't even know anymore if Anji still likes what she's doing. If she's genuinely expressing herself. Or if she's just following what the housemates want her to do. We don't know, really. Because she's afraid of being judged. So please, let her learn on her own."
"Happy ending naman 'to 'di ba? Kasi kung hindi, ipilit natin, pls","This is going to have a happy ending, right? Because if not, let's push it, please."
Di ba nag open up si Anji ky Kyle..unlike nung una na sobrang dala ng bugso ng damdamin at sa ayaw nya may masabi si TJ.,"Anji opened up to Kyle, right? Unlike before, when she was so overwhelmed by her emotions and didn't want TJ to say anything."
Sino ba ang nahnakaw kina Marcos? Ang Aquino ang totoong nagnakaw sa kanila. Sila ang nagpasasa sa hindi kanila. Wag nga kayo tanga! Manang mana kayo sa ina ninyo! Sayad sa lupa ang utak. Ipinagmamalaki ninyo? Ang talino di ba?,"Who stole from the Marcoses? The Aquinos were the real thieves from them. They indulged in what wasn't theirs. Don't be stupid! The lot of you take after your mother! Your brains are on the ground. You're proud of that? Smart, right?"
bakit puro kayo wtf di ba pwedeng wth naman,Why are you all saying wtf? Can't you say wth?
badtrip padin umasa ako sa music video tapos dun sa last 3 categories wala pa sila ano yun? out of 7 isa lang di ba sila marunong tumingin mga takot lang ksi eh hays,"I'm still annoyed, I was hoping for a music video and then in the last 3 categories they weren't there either? Out of 7, only one? Aren't they able to see? They're just scared, ugh."
