src,tgt
char akala mo naman talaga afford,"Yeah right, as if you can actually afford it."
hooooy yawaaaa talagang kdrama pala talaga to. hahahahhahahahahahah,Oh my god! It really is like a K-drama. Hahahahahahahaha
bobo talaga akong tao legit yon! my red nga akong grade sa transcript ko eh pero putangnia feeling ko ngayon mas matalino pa ko sa grammys,"I'm really stupid, that's a fact! I even have a failing grade on my transcript, but damn, I feel like I'm smarter than the Grammys now."
"tinry ko lang naman sumali sa pa activity sa work naman about a song that you can listen to for days. si mapa yung sinabi ko. kasi halos ito din yung song na naging atin na ako. ayun, nasali pa sa nanalo, pandagdag merch din. hehe thank you for your songs","I just tried to join a work activity about a song that you can listen to for days. I said 'Mapa'. Because it's practically the song that made me who I am. Turns out, I was even included among the winners, which means more merchandise for me. Hehe, thank you for your songs."
haha may pangbili na mamaya ng photocards yiheee! kita kits!,"Haha, I'll be able to buy photocards later, yay! See you!"
yes po para sa pc talaga yan hehe kitakits ate!,"Yes, it's really for the photocards, hehe. See you!"
tangina sabi ko di na talaga ako magiinom,"Damn it, I said I wasn't going to drink anymore."
pero sakit talaga ng ulo ko ngayon. di ako makapag trabaho ng maayos. pwede ba 3hrs breaktime ko? haha! sakto ko na sa out ko,But I really have a headache right now. I can't work properly. Can I have a 3-hour break? Haha! I'll just make it coincide with my time out.
grabe ayan na nagising na talaga sila so much,"Oh my god, there they go, they're really awake now, so much."
hirap maging christian talaga,It's really hard being a Christian.
follow back ko ba?,Should I follow back?
"follow back kita mamaya, bc aq.","I'll follow you back later, I'm busy."
"sana hindi maubos schoolworks mo, goodluck","I hope you don't run out of school supplies, good luck."
"tulungan mo ko teh, need ko mag vlog.","Help me, sis, I need to vlog."
"gusto mo lang makita mukha ko e, g lang basta gising aq","You just want to see my face, it's okay as long as I'm awake."
kahit cno maaalibadbaran kapag nakita ka.,Anyone would be disgusted when they see you.
"sendan kitang maraming pictures ko, gets namang nahihiya ka lang manghingi","I'll send you a lot of pictures of me, it's obvious you're just shy to ask."
"grabe! na miss mo talaga ako, ano?","Wow! You really missed me, huh?"
sorry walang wala lang talaga ako,"Sorry, I really have absolutely nothing right now."
sometimes the hardest thing is to sacrifice the one you love talaga and to let him go pag hindi na siya masaya talaga sa yo... bandera.inquirer.net298348,Sometimes the hardest thing is to really sacrifice the one you love and to let him go when he's not really happy with you anymore...
ganitong oras talaga may nagsisiga? ano ba naman yan?,Is someone really starting a fire at this hour? Seriously?
ang dali ko talaga mabudol aigooooo,"I'm so easily influenced, aigooooo."
exact 4 matutulog na talaga ako,I'm really going to sleep at exactly 4 o'clock.
mukang babalik na sa normal ang trabaho. sana talaga,Looks like work is going back to normal. I really hope so.
"legit na allergic talaga ang g word sa mga boybands, as in bihira lang sila magnominate.","The 'G' word is legitimately allergic to boybands, as in, they rarely get nominated."
"di ako maangas,, sadyang naangasan kalang talaga saken.","I'm not arrogant, you're just really intimidated by me."
ganda nung hampas tangina talaga,"That smack was so good, damn it!"
may replay ba yon hshahahaha,Is there a replay of that? Hshahahaha.
antok na talaga ako tas may lakad la ako bukas hshahahaha,"I'm already sleepy, and I have somewhere to go tomorrow. Hshahahaha."
sino bang hindi aantukin kapag nagawa ng schoolworks,Who wouldn't get sleepy when doing schoolwork?
"if anji gets saved and nominated again because of her being sensitive or for crying dahil nasabihan siya. wow talaga. ngaun lang sya umiyak ng may luha, diba yun hanap niyo? pag feelings ni anj laging di valid. pag feelings ng iba awe, ay kawawa naman si ganito tse!","If Anji gets saved and nominated again because of her being sensitive or for crying because someone said something to her. Wow, really. This is the first time she cried with tears, isn't that what you're looking for? When Anji's feelings are invalidated, but when it's someone else's feelings, they're like, 'Awe, poor so-and-so!' Ugh!"
"bitaw sakto. kalagot sa mga edaran nmn tana, pero sila mn nuon murag bata ug isip. laban kyji","Perfect timing to quit/let go. It's annoying how older individuals behave, yet they also acted like childish and immature/naive during their time. Fight on, Kyji!"
matutulog na talaga ako,I'm really going to sleep now.
akala ko bad word pero no problem ur welcome !!,"I thought it was a bad word but no problem, you're welcome!!"
ahhhh tiway as in ty thank you ‍,"Ahhhh, tiway as in ty, thank you!"
hahahahahahahhahahahaha mahina talaga utak ko sa ganyan,"Hahahahahahahahahaha, my brain is really weak when it comes to things like that."
dalawang araw nako sa master 4. may sumpa talaga,I've been stuck in Master 4 for two days. It's really cursed.
hindi na talaga tuloy yung neck kiss? hays,So the neck kiss isn't happening after all? Hays.
wala pa akong tulog nauulol nanaman ako gejdhd ang attractive talaga ng kamay mo,"I haven't slept and I'm going crazy again, gejdhd. Your hands are really attractive."
ewan ko na lang talaga pag losing streak pa to bukas,I don't know what I'll do if I have another losing streak tomorrow.
relaxing talaga pag minamasahe ako ni nobela,It's really relaxing when Nobela massages me.
antahimik naman ng enjin stan twt ngayon,The Enjin stan Twitter is so quiet right now.
"its already past 3 am, what do you expect","It's already past 3 am, what do you expect?"
gantong oras kasi madalas maingay,It's usually noisy at this hour.
oums minsan may exposing thread pero madalas katarantaduhan,"Oum's sometimes has exposing threads, but it's mostly nonsense."
still have 730 exam tomorrow and here i am wide awake,"I still have a 7:30 exam tomorrow and here I am, wide awake."
di talaga uso satin matulog,Sleeping is really not a custom for us.
su4thive talaga ni billie skksksksksks,Billie is so subversive skksksksksks.
saktan mo ako k lang,"Hurt me, it's okay."
hindi parin talaga makasabay yung mata ko sa bilis ng bola hahahha,My eyes still really can't keep up with the speed of the ball hahahaha.
okay matutulog na talaga ako,"Okay, I'm really going to sleep now."
sabi ko matutulog na ako pero sumali pa ako sa space,"I said I was going to sleep, but I ended up joining a Space."
kala mo naman talaga may alam.. pwe kundi pa mang gugulang ng tao saka umunlad wag ganorn,"You act like you know something... please, you only prosper by exploiting people. Don't be like that."
pero ang sakit pala talaga sa puso,But it really hurts the heart.
gosh sana talaga icancel ni sir ung oral examination sa cle bwahahah,"Gosh, I really hope Sir cancels the oral examination in CLE, bwahahah!"
the audacity of this guy! commercial sa abscbn?!,The audacity of this guy! An ad on ABS-CBN?!
bakit tinanggap ng abscbn ang ad?,Why did ABS-CBN accept the ad?
they cannot decline due to law. the fair election act. kaya wag nating silang ibash.,They cannot decline due to the law. The Fair Election Act. So let's not bash them.
e diba hindi pa naman considered na campaign ad yan kasi wala pang campaign period? so they can decline pa kasi sa fair election act ang bawal tanggihan ng mga networks ay mga political campaign ads?,But isn't it that it's not considered a campaign ad yet because there's no campaign period? So they can still decline because what the Fair Election Act prohibits networks from refusing are political campaign ads?
"pag ginawa nila yun, sasabihan na naman silang bias. saka pera na rin yan sakanila. ang laki ng lugi ng abscbn. makapal lang talaga mukha ni marcoleta.","If they do that, they'll be called biased again. Besides, it's money for them too. ABS-CBN lost so much. Marcoleta is just shameless."
"well deserved, congrats!!!","Well deserved, congrats!!!"
"panlilinlang lang yan, tamad talaga aq hahahaha. thank you too!!!","That's just deceiving myself, I'm really just lazy hahaha. Thank you too!!!"
minsan talaga di kaibigan nakakatulong sayo yung ibang tao pa mismo,"Sometimes your friends don't help you, but random people will."
kinakabahan ako di talaga maganda kutob ko,"I'm nervous, I have a really bad feeling about this."
finally eating filipino food again,Finally eating Filipino food again.
