# of Actual Tweets,Twitter Links,id,split,Tweet Status,Original Taglish Tweet,Preprocessed Taglish Tweet,English Translation,Comments
,https://twitter.com/i/web/status/1463245505031512074,1.463245505031512e+18,"(0.15384615384615385, 0.23076923076923078, 0.6153846153846154)",0,,,,
,https://twitter.com/i/web/status/1463244365149741060,1.463244365149741e+18,"(0.27906976744186046, 0.06976744186046512, 0.6511627906976745)",0,,,,
1.0,https://twitter.com/i/web/status/1463244091362201600,1.4632440913622016e+18,"(0.3333333333333333, 0.4166666666666667, 0.25)",1,Ung last na may ganto di ba natalo? So lam na this… ,ung last na may ganto di'ba natalo? so lam na this.,Didn't the last one with something like this also lost? So we'll know what happen,
2.0,https://twitter.com/i/web/status/1463243886306885633,1.4632438863068856e+18,"(0.5, 0.35714285714285715, 0.14285714285714285)",1,what do you do ba when have makulog? we make putol it di ba? ,what do you do ba when have makulog? we make putol it di'ba.,,
3.0,https://twitter.com/i/web/status/1463243390603370496,1.4632433906033705e+18,"(0.2222222222222222, 0.48148148148148145, 0.25925925925925924)",1,So relaxing... Pero mas relaxing Sana Kung sa pag balik ko sa elyu eh may matatawag na akong special someone di Yung lagi akong chaperone di ba :(,so relaxing. pero mas relaxing sana kung sa pag balik ko sa elyu eh may matatawag na akong special someone di yung lagi akong chaperone di'ba.,"So relaxing.. But it would be more relaxing if when I go back to elyu, I can call a special someone. Instead of me being a chaperone all the time.
",
,https://twitter.com/i/web/status/1463243369434415106,1.463243369434415e+18,"(0.17142857142857143, 0.7428571428571429, 0.08571428571428572)",0,,,,
,https://twitter.com/i/web/status/1463242814146236416,1.4632428141462364e+18,"(0.25, 0.5833333333333334, 0.16666666666666666)",0,,,,
,https://twitter.com/i/web/status/1463242777261711371,1.463242777261711e+18,"(0.2, 0.13333333333333333, 0.6666666666666666)",0,,,,
,https://twitter.com/i/web/status/1463242653215215617,1.4632426532152156e+18,"(0.95, 0.0, 0.05)",0,,,,
,https://twitter.com/i/web/status/1463242056768307211,1.4632420567683072e+18,"(0.21739130434782608, 0.10869565217391304, 0.6739130434782609)",0,,,,
4.0,https://twitter.com/i/web/status/1463242009049665538,1.4632420090496655e+18,"(0.125, 0.5, 0.375)",1,HAHAHAHAHA di ba pwede idaan nalang sa kiss?,hahahahaha di'ba pwede idaan nalang sa kiss.,HAHAHAHAHA can't we just settle it with a kiss?,
5.0,https://twitter.com/i/web/status/1463240945206378500,1.4632409452063785e+18,"(0.25, 0.75, 0.0)",1,"beh hindi ito dump acc ha, stan acc to","beh hindi ito dump acc ha, stan acc to.","Beh this is not a dump account, this is a stan account. ",
,https://twitter.com/i/web/status/1463240598110945289,1.4632405981109453e+18,"(0.75, 0.08333333333333333, 0.16666666666666666)",0,,,,
,https://twitter.com/i/web/status/1463240325632249857,1.4632403256322499e+18,"(0.7777777777777778, 0.0, 0.2222222222222222)",0,,,,
